instant,season_1,season_2,season_3,season_4,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,weathersit_1,weathersit_2,weathersit_3,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,temp,atemp,hum,windspeed,holiday,workingday,yr,cnt
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.35516959600347203,0.3735173787624057,0.8286200514138817,0.28460620119145374,0,0,0,985
2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.3792320499775338,0.36054066910781774,0.7157706940874036,0.4662145544376672,0,0,0,801
3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.17099980237661438,0.14483010827663625,0.44963804627249354,0.46574039733952516,0,1,0,1349
4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.17553043686730302,0.17464923767409474,0.6071311053984576,0.28429696830136103,0,1,0,1562
5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.20912018218234535,0.19715830273143592,0.44931311053984574,0.3391425136881939,0,1,0,1600
6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.1809482583099637,0.20232877201420169,0.5329161953727506,0.13848170361759188,0,1,0,1606
7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.17119667813281042,0.17033985695428777,0.5127979434447301,0.3016758567245681,0,1,0,1510
8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.1319187187226103,0.10919075526917946,0.5509850899742931,0.5038688126879493,0,0,0,959
9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.09869032764362397,0.048705846896353294,0.44644421593830336,0.7000172964263193,0,0,0,822
10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.11426594126672852,0.09427134580791638,0.4965727506426735,0.4141149971148572,0,1,0,1321
11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.13701630554917998,0.1475328237509228,0.7057727506426735,0.20561987485138783,0,1,0,1263
12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.14154694003986856,0.10685295232614675,0.6164987146529562,0.5818429167011119,0,1,0,1162
13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.1319187187226103,0.09426478263289378,0.4837192802056555,0.5743656654186715,0,1,0,1406
14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.12677253598153654,0.1435279743521621,0.5530344473007712,0.2147236911357155,0,1,0,1421
15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.2170649911792185,0.2218909714864174,0.512853470437018,0.27948736608412006,0,0,0,1248
16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.21498907339553114,0.203651908098748,0.4974293059125964,0.3423028738249408,0,0,0,1204
17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.14541716851293757,0.12824627762965424,0.5526992287917737,0.3538145835467899,1,0,0,1000
18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.1962983370478057,0.20117890375025071,0.8860329048843186,0.25642271558840934,0,1,0,683
19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.290383765674986,0.2879296385633262,0.7627136246786632,0.3832947857356228,0,1,0,1650
20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.25237054609098203,0.23099803314770923,0.5535557840616966,0.3577047333041555,0,1,0,1927
21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.1474943323457148,0.1033875959142398,0.4700082262210797,0.6820652963801405,0,1,0,1543
22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.41131105398457585,0.30836353336097194,0,0,0,981
23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.046591395333247104,0.025950137721664684,0.44886580976863755,0.46221720394506954,0,0,0,986
24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.04767495962177924,0.0510095213292687,0.5056442159383033,0.2802439558885467,0,1,0,1416
25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.2047851773987629,0.20405751231514163,0.6344030848329049,0.22141961398252175,0,1,0,1985
26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.19733629593964935,0.16346296216565875,0.8868894601542416,0.5596255643242551,0,1,0,506
27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.16930019141806119,0.1845963857382732,0.7069408740359897,0.18851929602926415,0,1,0,431
28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.17986419560179562,0.18934418654958668,0.815468380462725,0.2080277682889093,0,1,0,1167
29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.17119667813281042,0.17465448821411284,0.6701686375321337,0.2535159264215385,0,0,0,1098
30,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.19611765992977764,0.22479189484638495,0.7425953727506426,0.10635735406320679,0,0,0,1096
31,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.1516474139621794,0.14068874483740654,0.6208226221079691,0.33974448704757426,0,1,0,1501
32,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.16577885669014975,0.20406276285515967,0.8530231362467866,0.06353973116941777,0,1,0,1360
33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.25029338225820486,0.23016713518985432,0.7973439588688945,0.49872317739680744,0,1,0,1526
34,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.1592782185884108,0.12969936457964704,0.45020668380462725,0.5264386905595116,0,1,0,1550
35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.1896157757789489,0.19626177302335546,0.6017655526992287,0.21738515554311294,0,1,0,1708
36,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.2170649911792185,0.21525691417362275,0.9554416452442158,0.2859111639876447,0,0,0,1005
37,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.28248256839625757,0.2790680396478778,0.5844041131105397,0.24616649140033642,0,0,0,1623
38,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.26483103698946564,0.2948025954469417,0.7592113110539845,0.04744993158737696,0,1,0,1712
39,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.20148937755611396,0.15643511435151108,0.5531280205655527,0.7000172964263193,0,1,0,1530
40,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.09426685337466227,0.08560139160312638,0.5087742930591259,0.3431398641807916,0,1,0,1605
41,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.1061853129190619,0.09251241490187267,0.44975938303341895,0.4113690090508344,0,1,0,1538
42,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.1619372873461472,0.17646986242535045,0.5206827763496144,0.17761986742979846,0,1,0,1746
43,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2035665413888912,0.20199405008805155,0.5595547557840617,0.3730901003625653,0,0,0,1472
44,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.320722568914614,0.32165254446419816,0.4703249357326478,0.4916623597396918,0,0,0,1589
45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.44343099118470114,0.41909862929402286,0.38646066838046267,0.8153776568516835,0,1,0,1913
46,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.2578780830681118,0.22997942838420932,0.3232370179948586,0.5545211600851256,0,1,0,1815
47,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.32288944828186034,0.31126566367350883,0.43545295629820047,0.4729187234948759,0,1,0,2115
48,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.469389931873512,0.4588819710107185,0.519280205655527,0.42820983224528025,0,1,0,2475
49,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5763433094515564,0.568257282761532,0.531277120822622,0.49999515535138866,0,1,0,2927
50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.423702295945132,0.40998106655269495,0.19323084832904883,1.0,0,0,0,1635
51,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.281715002156911,0.26024354104819686,0.41935835475578404,0.41404902743163735,0,0,0,1812
52,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.30428842746860396,0.26909726415361823,0.6221079691516709,0.5884790545225002,1,0,0,1107
53,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.15337817614797877,0.14040390304142783,0.5941161953727506,0.357249130179419,0,1,0,1450
54,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.2026182980315166,0.21874721065061548,0.4350056555269923,0.147857232534681,0,1,0,1917
55,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2947175244094787,0.27581270483669246,0.7171115681233933,0.47024901287707604,0,1,0,1807
56,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.38031611268570187,0.35623785156303334,0.7323125964010282,0.6682467092982002,0,1,0,1461
57,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.27832948677979297,0.26662557244012547,0.5531280205655527,0.3384642628825907,0,0,0,1969
58,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.3543110681805665,0.3570884390459559,0.699228791773779,0.21204367275491254,0,0,0,2402
59,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.4338027698674429,0.421419367981997,0.9011455012853469,0.551041259295283,0,1,0,1446
60,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25860079154022386,0.2425872876025299,0.5501285347043702,0.400009854221431,0,1,0,1851
61,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3437470639968321,0.3163468737759679,0.46229614395886887,0.5884522543386921,0,1,0,2134
62,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.17345327303452573,0.15891205660502183,0.3273347043701799,0.41924207843259337,0,1,0,1685
63,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.25237054609098203,0.23182368056554614,0.627678149100257,0.3730468077579523,0,1,0,1944
64,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.40501155959740653,0.3934090496207535,0.8114827763496143,0.4730836477029254,0,0,0,2077
65,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.39548551430551576,0.3769656709192541,0.9750755784061697,0.6615425402409915,0,0,0,605
66,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.2524602616254511,0.2092227310578893,0.5668935732647815,0.6575534359587962,0,1,0,1872
67,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.29078997767827663,0.2931513006112679,0.4327331619537275,0.2025646538972724,0,1,0,2133
68,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.29494305929474124,0.27242216862004254,0.7973439588688945,0.4076891376587319,0,1,0,1891
69,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.4111471053158198,0.40245179216682436,0.0,0.4937115430247058,0,1,0,623
70,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.320722568914614,0.29656415162299443,0.6679331619537274,0.4341182419986505,0,1,0,1977
